smartphoneName,smartphonePrice,smartphoneLink,smartphoneImg,smartphoneBrand,smartphonePage
"Iku A4 - 5.5"" - 1Go - 16Go - Blue - Garantie 1 an",199.00 TND,/iku-a4-5.5-1go-16go-blue-garantie-1-an-690111.html,https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/11/1096/1.jpg?7267,Iku,1
Inkax T03 - Bluetooth Écouteurs sans Fil True Wireless Bluetooth-Blanc,62.50 TND,/inkax-t03-bluetooth-ecouteurs-sans-fil-true-wireless-bluetooth-blanc-693546.html,https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/64/5396/1.jpg?4798,Inkax,1
"Nokia C1 2nd Edition - 5.45"" - 1Go - 16 Go - Bleu Garanti 1an -",191.90 TND,/nokia-c1-2nd-edition-5.45-1go-16-go-bleu-garanti-1an-446820.html,https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/02/8644/1.jpg?7264,Nokia,1
"XIAOMI Redmi A1+ - 6.52"" - 2 Go - 32  Go - Vert- Garantie 1 an",335.00 TND,/redmi-a1-6.52-2-go-32-go-vert-garantie-1-an-xiaomi-mpg33894.html,https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/19/3066/1.jpg?6862,XIAOMI,1
"Samsung Galaxy A04e 6.5"" HD+ 3G+4G Ram Plus 64G - Copper - Garantie 1 an",479.00 TND,/samsung-galaxy-a04e-6.5-hd-3g4g-ram-plus-64g-copper-garantie-1-an-724857.html,https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/75/8427/1.jpg?7589,Samsung,1
"XIAOMI Redmi 10C - 6.71""- 4Go - 64Go - Bleu - Garantie 1 an",569.00 TND,/xiaomi-redmi-10c-6.71-4go-64go-bleu-garantie-1-an-678920.html,https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/02/9876/1.jpg?9216,XIAOMI,1
"Infinix Hot  20i - 6,6"" HD+ IPS - 6GB - 128GB - Noir - Garantie 1 an",539.00 TND,/infinix-hot-20i-66-hd-ips-6gb-128gb-noir-garantie-1-an-743054.html,https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/45/0347/1.jpg?1126,Infinix,1
Nokia C1 2ÈME ÉDITION 1GO 16GO - purple Garantie 1 An,198.90 TND,/nokia-c1-2eme-edition-1go-16go-purple-garantie-1-an-725201.html,https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/10/2527/1.jpg?4798,Nokia,1
Apple Iphone 11 - 64 Go - Noir - Garantie 1 an,"2,299.00 TND",/apple-iphone-11-64-go-noir-garantie-1-an-740160.html,https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/06/1047/1.jpg?2165,Apple,1
"Infinix Smart 7 - 6,6"" - 4GB (Up to 7GB) - 64 GB - Iceland White - Garantie 1 an",398.90 TND,/infinix-smart-7-66-4gb-up-to-7gb-64-gb-iceland-white-garantie-1-an-716186.html,https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/68/1617/1.jpg?8848,Infinix,1
"Infinix Smart 7 - 6,6"" - 4GB (Up to 7GB) - 64 GB - Peacock Blue - Garantie 1 an",419.00 TND,/infinix-smart-7-66-4gb-up-to-7gb-64-gb-peacock-blue-garantie-1-an-716188.html,https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/88/1617/1.jpg?8847,Infinix,2
"Schneider Wave 3 - 6.52"" - 4Go - 32 Go - Noir - Garantie 1an + Pochette + Anticasse",399.00 TND,/schneider-wave-3-6.52-4go-32-go-noir-garantie-1an-pochette-anticasse-471692.html,https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/29/6174/1.jpg?8070,Schneider,2
"XIAOMI Redmi 10C - 6.71""- 4Go - 64Go - Vert - Garantie 1 an",574.00 TND,/redmi-10c-6.71-4go-64go-bleu-garantie-1-an-xiaomi-mpg33911.html,https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/97/0576/1.jpg?4287,XIAOMI,2
"Infinix Hot 20i - 6,6"" HD+ IPS - 4GO - 128GO  + Anticasse - Vert - Garantie 1 an",479.00 TND,/infinix-hot-20i-66-hd-ips-4go-128go-anticasse-vert-garantie-1-an-724812.html,https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/21/8427/1.jpg?5074,Infinix,2
"Oppo A17 6.56"" 4 - 64 Gb Bleu -5000 mAh - Garantie 1 An",578.90 TND,/oppo-a17-6.56-4-64-gb-bleu-5000-mah-garantie-1-an-680766.html,https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/66/7086/1.jpg?8445,Oppo,2
"Infinix Smart 7 - 6,6"" - 7GB (4+3) Ram - 64 GB - Peacock Blue - Garantie 1 an",409.00 TND,/infinix-smart-7-66-7gb-43-ram-64-gb-peacock-blue-garantie-1-an-718065.html,https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/56/0817/1.jpg?1547,Infinix,2
"Smart E1 - 6.1"" - 2Go - 16Go - Bleu - Garantie 1 an",239.00 TND,/smart-e1-6.1-2go-16go-bleu-garantie-1-an-667903.html,https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/30/9766/1.jpg?2990,Smart,2
"Tecno Spark Go 2023 -6.56""- 4Go -64Go - Bleu  - Garantie 1an",379.00 TND,/tecno-spark-go-2023-6.56-4go-64go-bleu-garantie-1an-732932.html,https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/23/9237/1.jpg?2891,Tecno,2
"Samsung Galaxy A04e 6.5"" HD+ 3G+4G Ram Plus 64G - Bleu - Garantie 1 an",479.00 TND,/samsung-galaxy-a04e-6.5-hd-3g4g-ram-plus-64g-bleu-garantie-1-an-724856.html,https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/65/8427/1.jpg?7589,Samsung,2
"XIAOMI Redmi 10C - 6.71""- 4Go - 128Go - Bleu - Garantie 1 an",739.00 TND,/redmi-10c-6.71-4go-128go-bleu-garantie-1-an-xiaomi-mpg29805.html,https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/52/7265/1.jpg?2930,XIAOMI,2
"Infinix HOT 20 - 6,82"" - 4G/DS - 6/128 GB - X6826 - Sonic Black",679.00 TND,/infinix-hot-20-682-4gds-6128-gb-x6826-sonic-black-703047.html,https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/74/0307/1.jpg?8546,Infinix,2
"Nokia C1 2nd Edition - 5.45"" - 1Go - 16 Go - Purple - Garantie 1 an",191.90 TND,/nokia-c1-2nd-edition-5.45-1go-16-go-purple-garantie-1-an-446826.html,https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/62/8644/1.jpg?8626,Nokia,2
"XIAOMI Redmi 10 2022 - 6.5""- 50MP Camera - 6Go - 128Go et Pochette + Anticasse - Carbon Gray - Garantie 1an",879.00 TND,/xiaomi-redmi-10-2022-6.5-50mp-camera-6go-128go-et-pochette-anticasse-carbon-gray-garantie-1an-700449.html,https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/94/4007/1.jpg?3188,XIAOMI,2
"XIAOMI Redmi 10C - 6.71""- 4Go - 64GB- Vert- Garantie 1 an",649.00 TND,/xiaomi-redmi-10c-6.71-4go-64gb-vert-garantie-1-an-696360.html,https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/06/3696/1.jpg?5806,XIAOMI,2
